,HR,LF,HF,LF/HF,LF+HF,ccvTP,judgement,0,1,2,3,4,5,6,7,8
2018/06/08 12:36:33,79.96,551.23,282.79,1.69,834.02,3.2035,0,25％,75％,少し眠い,,,,,,
2018/06/08 12:39:17,79.02,220.19,127.1,1.79,347.28,2.4044,1,25％,75％,少し眠い,,,,,,
2018/06/08 12:41:59,77.14,959.25,328.35,2.81,1287.6,4.3753,1,25％,75％,少し眠い,36.78,,,,,
2018/06/08 15:55:59,69.3,2156.15,987.17,2.16,3143.31,6.3065,1,25％,75％,少し眠い,,,,,,
2018/06/08 15:59:39,67.82,897.57,778.34,1.31,1675.91,4.6018,0,25％,75％,少し眠い,,,,,,
2018/06/08 16:02:26,68.83,1172.82,888.31,1.39,2061.14,5.1536,0,25％,75％,少し眠い,36.77,,,,,
2018/06/08 18:42:41,80.71,285.59,559.33,0.62,844.92,3.4657,0,75％,25％,少し眠い,,,,,,
2018/06/08 18:45:49,78.26,309.32,268.47,1.12,577.79,3.0737,0,75％,25％,少し眠い,75％,75％,少し眠い,飲酒後30分以内,,
2018/06/08 22:57:20,83.12,209.79,134.27,1.65,344.07,2.4846,1,75％,75％,少し眠い,飲酒後30分以内,,,,,
2018/06/08 23:00:10,81.58,609.15,144.26,4.25,753.41,3.5369,1,75％,75％,少し眠い,飲酒後30分以内,,,,,
2018/06/08 23:03:01,81.39,380.32,513.6,0.77,893.92,3.8233,0,75％,75％,少し眠い,飲酒後30分以内,,,,,
2018/06/09 07:20:13,93.09,111.89,177.59,0.61,289.47,2.5874,1,25％,75％,眠くない,,,,,,
2018/06/09 07:23:11,90.14,244.09,231.13,1.03,475.22,3.2317,0,25％,75％,眠くない,25％,,,,,
2018/06/09 10:30:52,83.68,1545.59,213.09,7.74,1758.68,5.7386,2,36.74,25％,25％,眠くない,,,,,
2018/06/09 10:33:55,80.35,693.8,303.38,2.43,997.18,4.1195,1,25％,25％,25％,眠くない,,,,,
2018/06/09 10:36:34,80.6,1513.71,259.15,5.7,1772.86,5.4533,2,25％,25％,眠くない,,,,,,
2018/06/09 13:34:34,95.56,844.68,178.23,5.47,1022.91,5.0169,2,75％,75％,75％,75％,眠くない,運動後30分以内(歩行後含む),,,
2018/06/09 13:38:27,92.76,1331.38,112.13,12.67,1443.51,5.5635,2,75％,75％,眠くない,眠くない,運動後30分以内(歩行後含む),100％,75％,眠くない,運動後30分以内(歩行後含む)
2018/06/09 15:39:31,92.27,75.61,40.13,1.68,115.74,1.5534,1,75％,75％,100％,眠くない,運動後30分以内(歩行後含む),,,,
2018/06/09 15:42:53,91.52,70.92,31.52,2.08,102.44,1.4734,1,75％,75％,少し眠い,運動後30分以内(歩行後含む),100％,25％,眠くない,飲酒後30分以内,
2018/06/09 19:55:33,102.62,65.0,44.13,2.53,109.13,1.7656,1,100％,25％,眠くない,飲酒後30分以内,,,,,
2018/06/09 19:59:07,101.03,53.72,16.02,3.19,69.74,1.3448,1,100％,25％,眠くない,運動後30分以内(歩行後含む),飲酒後30分以内,,,,
2018/06/10 09:28:13,76.55,125.41,618.91,0.21,744.32,3.4457,0,75％,75％,非常に眠い,,,,,,
2018/06/10 09:32:01,74.09,589.52,862.13,0.74,1451.66,4.5254,0,75％,75％,非常に眠い,,,,,,
2018/06/10 12:06:27,70.28,3538.95,542.93,9.36,4081.88,7.4218,2,25％,25％,少し眠い,,,,,,
2018/06/10 12:10:00,66.67,3025.42,1091.05,3.29,4116.47,6.7547,1,25％,25％,少し眠い,,,,,,
2018/06/10 12:12:50,67.37,977.64,2022.12,0.48,2999.76,6.0606,0,25％,25％,少し眠い,,,,,,
2018/06/10 12:15:47,62.22,3260.2,2045.3,1.8,5305.49,7.3307,0,25％,25％,少し眠い,,,,,,
2018/06/10 15:13:57,68.43,3037.11,1769.31,1.71,4806.42,7.6453,0,25％,25％,眠くない,,,,,,
2018/06/10 15:17:37,74.7,454.35,995.79,0.6,1450.14,4.5764,0,25％,25％,眠くない,,,,,,
2018/06/10 18:21:27,61.14,3288.38,1947.43,1.85,5235.81,7.1429,0,25％,25％,眠くない,,,,,,
2018/06/10 18:24:11,64.82,3155.5,762.43,5.77,3917.94,6.5055,2,25％,25％,25％,眠くない,,,,,
2018/06/10 18:30:17,66.1,1179.21,1437.83,0.85,2617.04,5.5207,0,25％,25％,眠くない,,,,,,
2018/06/10 21:34:14,68.77,339.05,564.29,0.62,903.34,3.4459,0,25％,25％,眠くない,,,,,,
2018/06/10 21:37:22,68.54,925.64,590.65,1.94,1516.29,4.4044,0,25％,25％,眠くない,入浴後30分以内,37.02,25％,75％,少し眠い,
2018/06/11 06:27:09,69.99,1453.22,828.25,1.63,2281.47,5.3524,0,75％,25％,75％,少し眠い,,,,,
2018/06/11 06:30:16,73.58,538.2,687.9,0.87,1226.1,4.263999999999999,0,25％,75％,少し眠い,75％,25％,75％,,,
2018/06/11 09:16:26,83.16,2059.74,174.73,12.74,2234.47,6.2828,2,,,,,,,,,
2018/06/11 09:19:59,79.34,835.63,496.19,2.15,1331.82,4.8164,1,25％,75％,眠くない,,,,,,
2018/06/11 09:22:40,78.98,881.6,559.3,1.54,1440.9,4.7716,0,75％,25％,25％,眠くない,,,,,
2018/06/11 09:26:54,82.64,2120.63,307.58,7.97,2428.21,6.772,2,25％,25％,眠くない,,,,,,
2018/06/11 13:10:19,78.19,330.44,426.66,0.83,757.1,3.5752,0,25％,75％,少し眠い,昼食後,,,,,
2018/06/11 13:13:02,77.67,642.45,364.29,1.59,1006.74,3.8728,0,25％,75％,少し眠い,昼食後,,,,,
2018/06/11 16:06:00,72.17,498.54,653.94,0.76,1152.48,3.9892,0,75％,25％,75％,眠くない,,,,,
2018/06/11 16:09:28,70.59,855.51,753.82,1.17,1609.33,4.6104,0,25％,75％,眠くない,,,,,,
2018/06/11 20:18:49,82.55,372.97,138.86,3.37,511.83,3.0995,1,25％,25％,眠くない,飲酒後30分以内,,,,,
2018/06/11 20:22:05,89.77,319.1,26.38,18.24,345.48,2.7273,2,25％,25％,眠くない,飲酒後30分以内,,,,,
2018/06/11 20:24:50,87.84,154.21,127.91,1.89,282.12,2.4008,1,25％,25％,眠くない,飲酒後30分以内,,,,,
2018/06/12 06:18:08,67.32,1034.11,1687.27,0.66,2721.38,5.7829999999999995,0,25％,75％,眠くない,少し眠い,,,,,
2018/06/12 09:08:00,73.53,1320.26,687.22,2.67,2007.47,5.4972,1,25％,25％,75％,少し眠い,,,,,
2018/06/12 09:11:16,77.42,246.13,545.61,0.45,791.74,3.6129,0,25％,75％,少し眠い,,,,,,
2018/06/12 09:13:57,71.13,477.49,990.28,0.51,1467.77,4.5399,0,25％,75％,少し眠い,,,,,,
2018/06/12 12:48:04,79.31,1563.16,395.96,4.89,1959.13,5.7572,1,25％,75％,非常に眠い,,,,,,
2018/06/12 12:51:13,79.83,1693.1,257.99,6.85,1951.08,5.5766,2,25％,75％,非常に眠い,,,,,,
2018/06/12 12:55:37,85.2,746.63,110.94,7.41,857.57,4.1029,2,75％,25％,75％,非常に眠い,25％,100％,眠くない,,
2018/06/12 16:57:10,69.37,1439.69,459.64,3.03,1899.34,4.9286,1,25％,75％,100％,眠くない,,,,,
2018/06/12 17:00:24,68.83,885.03,422.84,2.36,1307.87,4.1276,1,25％,75％,100％,眠くない,,,,,
2018/06/12 20:34:53,102.54,22.61,36.77,2.75,59.38,1.2031,1,75％,75％,少し眠い,飲酒後30分以内,飲酒後30分以内,,,,
2018/06/12 20:38:15,103.6,20.91,6.46,5.59,27.38,0.8762,2,75％,75％,少し眠い,飲酒後30分以内,,,,,
2018/06/12 20:41:05,100.47,35.88,7.83,5.11,43.71,1.0561,2,75％,75％,少し眠い,飲酒後30分以内,,,,,
2018/06/13 07:37:42,76.34,1406.39,1038.51,1.54,2444.9,6.2902,0,25％,75％,眠くない,,,,,,
2018/06/13 07:40:31,73.89,1242.17,1182.2,1.06,2424.36,5.9175,0,25％,75％,眠くない,25％,75％,眠くない,,,
2018/06/13 12:49:30,71.09,379.57,381.31,1.09,760.88,3.2514,0,25％,75％,眠くない,,,,,,
2018/06/13 12:52:24,71.91,974.15,464.48,2.04,1438.63,4.4389,1,25％,75％,眠くない,,,,,,
2018/06/13 12:55:00,77.8,276.33,330.64,0.89,606.97,3.1853,0,25％,75％,眠くない,,,,,,
2018/06/13 18:47:35,80.13,714.82,382.97,2.0,1097.79,4.269,0,75％,25％,眠くない,,,,,,
2018/06/13 18:50:18,73.74,743.96,815.51,0.97,1559.47,4.8017,0,75％,25％,眠くない,,,,,,
2018/06/13 18:53:00,76.23,651.79,544.7,1.22,1196.49,4.4228,0,75％,25％,眠くない,,,,,,
2018/06/13 22:35:15,93.55,76.64,48.55,1.71,125.19,1.7204,1,75％,75％,少し眠い,飲酒後30分以内,,,,,
2018/06/13 22:37:56,92.84,128.8,70.45,2.03,199.25,2.1638,1,75％,75％,少し眠い,飲酒後30分以内,,,,,
2018/06/14 05:41:26,85.83,102.26,194.88,0.56,297.14,2.4372,1,75％,75％,少し眠い,,,,,,
2018/06/14 05:44:42,82.29,461.56,476.02,0.92,937.59,3.9410000000000003,0,75％,75％,少し眠い,,,,,,
2018/06/14 05:47:21,86.16,146.16,223.99,0.72,370.15,2.747,1,75％,75％,少し眠い,,,,,,
2018/06/14 09:15:43,74.56,1279.26,614.44,2.11,1893.7,5.2668,1,75％,75％,少し眠い,,,,,,
2018/06/14 09:20:29,72.82,576.45,418.88,1.55,995.33,3.7681,0,75％,75％,少し眠い,,,,,,
2018/06/14 09:23:07,74.97,1761.25,823.24,2.39,2584.48,5.8836,1,75％,75％,少し眠い,,,,,,
2018/06/14 16:42:27,70.84,844.2,343.69,2.53,1187.89,3.9567,1,75％,75％,少し眠い,眠くない,,,,,
2018/06/14 16:45:56,72.8,1031.5,470.4,2.41,1501.9,4.5245,1,100％,100％,少し眠い,,,,,,
2018/06/14 20:26:24,78.9,1092.32,196.06,5.69,1288.38,4.388999999999999,2,100％,100％,少し眠い,,,,,,
2018/06/14 20:29:12,79.93,203.59,120.39,1.7,323.98,2.344,1,100％,100％,少し眠い,,,,,,
2018/06/14 20:32:01,79.01,273.2,220.07,1.21,493.27,2.8232,1,100％,100％,少し眠い,,,,,,
2018/06/14 20:35:56,82.14,129.03,99.81,1.3,228.83,2.0180000000000002,1,100％,100％,少し眠い,,,,,,
2018/06/15 05:21:43,74.92,1007.61,896.9,1.27,1904.51,5.3705,0,75％,100％,非常に眠い,,,,,,
2018/06/15 05:24:27,74.74,819.74,1014.01,0.91,1833.74,5.2088,0,75％,100％,非常に眠い,,,,,,
2018/06/15 08:31:57,81.26,325.14,395.3,0.9,720.44,3.5913,0,100％,75％,非常に眠い,,,,,,
2018/06/15 08:34:43,83.63,320.97,323.29,1.01,644.25,3.5115,0,100％,75％,非常に眠い,75％,75％,眠くない,,,
2018/06/15 11:23:40,72.74,713.64,424.28,1.88,1137.92,3.8783,0,100％,25％,75％,眠くない,,,,,
2018/06/15 11:26:21,75.61,572.81,235.66,2.44,808.46,3.4743,1,25％,75％,眠くない,,,,,,
2018/06/15 11:29:17,74.38,592.89,215.29,3.14,808.18,3.5286,1,25％,75％,眠くない,,,,,,
2018/06/15 17:30:06,81.87,343.55,160.73,3.14,504.28,3.0654,1,100％,75％,眠くない,,,,,,
2018/06/15 17:33:32,79.59,1616.48,337.94,4.81,1954.41,5.7428,1,75％,75％,眠くない,,,,,,
2018/06/15 21:13:10,102.69,54.91,12.55,5.72,67.46,1.3515,2,100％,75％,少し眠い,飲酒後30分以内,入浴後30分以内,,,,
2018/06/15 21:16:07,102.28,59.03,27.69,4.92,86.72,1.3705,1,75％,75％,100％,少し眠い,入浴後30分以内,,,,
2018/06/15 21:18:58,96.79,94.3,24.42,3.82,118.72,1.6666,1,100％,75％,少し眠い,入浴後30分以内,75％,25％,少し眠い,,
2018/06/16 06:31:30,73.41,1001.59,700.41,1.41,1702.0,4.8879,0,75％,25％,少し眠い,,,,,,
2018/06/16 06:34:13,73.93,1801.04,645.62,3.36,2446.66,5.8474,1,75％,25％,少し眠い,,,,,,
2018/06/16 06:37:39,73.4,678.93,738.19,0.93,1417.11,4.5909,0,75％,25％,少し眠い,,,,,,
2018/06/16 09:14:54,69.57,707.15,1258.44,0.57,1965.59,5.0831,0,75％,75％,非常に眠い,,,,,,
2018/06/16 09:17:34,68.99,855.85,1524.45,0.58,2380.3,5.568,0,75％,75％,非常に眠い,,,,,,
2018/06/16 12:30:30,76.73,643.01,318.49,2.24,961.5,3.718,1,75％,75％,少し眠い,,,,,,
2018/06/16 12:36:21,73.34,792.02,536.38,1.44,1328.4,4.3101,0,75％,75％,少し眠い,,,,,,
2018/06/16 12:39:06,76.84,699.57,235.43,3.05,935.0,3.9167,1,75％,75％,少し眠い,,,,,,
2018/06/16 16:06:32,77.97,1395.07,420.28,3.46,1815.36,5.4283,1,75％,75％,非常に眠い,,,,,,
2018/06/16 16:09:14,79.97,368.86,228.76,1.64,597.62,3.2117,0,25％,75％,25％,75％,少し眠い,,,,
2018/06/16 16:12:00,77.03,396.34,404.56,1.02,800.91,3.5984,0,75％,75％,少し眠い,,,,,,
2018/06/16 20:04:50,63.89,3494.02,1137.18,3.12,4631.19,7.1577,1,25％,25％,眠くない,,,,,,
2018/06/16 20:07:26,64.52,939.75,1121.56,0.86,2061.3,4.8881,0,25％,0％(元気),25％,眠くない,,,,,
2018/06/16 20:10:05,62.57,1657.28,1051.36,1.62,2708.64,5.3683,0,25％,25％,眠くない,,,,,,
2018/06/17 07:47:49,82.99,539.68,191.0,3.82,730.67,3.7119,1,25％,25％,眠くない,,,,,,
2018/06/17 07:50:48,85.6,1577.11,148.58,11.21,1725.69,5.632999999999999,2,25％,25％,眠くない,,,,,,
2018/06/17 07:53:27,81.75,440.86,216.15,2.22,657.01,3.4139999999999997,1,25％,25％,眠くない,,,,,,
2018/06/17 11:22:38,75.99,1781.4,446.24,4.46,2227.64,5.903,1,25％,25％,眠くない,,,,,,
2018/06/17 11:26:03,76.46,3106.05,794.59,5.99,3900.64,7.8576,2!!!,25％,25％,眠くない,,,,,,
2018/06/17 11:29:04,78.73,750.16,336.01,3.46,1086.17,4.301,1,25％,25％,眠くない,,,,,,
2018/06/17 11:31:49,79.2,530.92,286.43,1.91,817.35,3.7506,0,25％,25％,眠くない,,,,,,
2018/06/17 11:34:50,76.14,290.37,279.96,1.37,570.33,2.9928,0,25％,25％,眠くない,,,,,,
2018/06/17 14:46:30,77.35,451.92,354.66,1.32,806.58,3.6404,0,25％,25％,非常に眠い,,,,,,
2018/06/17 14:50:12,78.78,763.92,245.59,3.27,1009.52,4.0086,1,25％,25％,少し眠い,,,,,,
2018/06/17 14:53:07,77.71,655.15,230.48,3.27,885.63,3.6921,1,25％,25％,25％,少し眠い,25％,25％,眠くない,,
2018/06/17 19:20:15,66.35,1793.48,752.64,2.36,2546.12,5.4042,1,25％,0％(元気),眠くない,,,,,,
2018/06/17 19:23:02,65.66,734.27,1202.42,0.65,1936.68,4.6873,0,25％,0％(元気),眠くない,,,,,,
2018/06/17 19:25:46,66.15,1696.03,814.28,2.36,2510.3,5.3185,1,,,,,,,,,
2018/06/17 22:40:54,83.44,455.05,215.59,2.51,670.63,3.489,1,100％,25％,非常に眠い,入浴後30分以内,,,,,
2018/06/17 22:44:20,84.3,132.86,152.33,0.88,285.18,2.3384,1,100％,25％,非常に眠い,入浴後30分以内,,,,,
2018/06/18 07:09:35,72.03,850.0,1063.4,0.82,1913.39,5.1416,0,25％,75％,25％,非常に眠い,,,,,
2018/06/18 07:15:28,77.24,459.59,551.95,0.93,1011.53,4.1053,0,25％,75％,75％,非常に眠い,,,,,
2018/06/18 10:20:18,78.89,1750.19,309.87,7.1,2060.05,5.9174,2,75％,25％,25％,眠くない,,,,,
2018/06/18 10:23:06,79.49,855.04,429.09,2.28,1284.13,4.6151,1,25％,25％,眠くない,25％,75％,,,,
2018/06/18 10:25:49,81.33,156.48,165.86,1.15,322.34,2.385,1,25％,75％,眠くない,,,,,,
2018/06/18 12:54:21,85.87,455.34,222.95,1.98,678.3,3.6157,0,75％,75％,非常に眠い,,,,,,
2018/06/18 12:57:09,85.65,158.44,85.01,1.99,243.45,2.2201,1,75％,75％,非常に眠い,,,,,,
2018/06/18 13:00:07,84.51,110.1,192.18,0.59,302.28,2.4330000000000003,1,75％,75％,非常に眠い,,,,,,
2018/06/18 16:51:12,74.18,517.95,178.97,3.13,696.92,3.2525,1,75％,75％,昼寝/二度寝30分未満,少し眠い,,,,,
2018/06/18 16:54:39,72.48,1320.56,410.58,3.44,1731.14,4.85,1,25％,75％,75％,少し眠い,37.08,,,,
2018/06/18 20:02:02,71.62,1272.72,517.73,2.55,1790.45,4.9538,1,75％,25％,眠くない,少し眠い,,,,,
2018/06/18 20:05:00,74.86,699.98,379.47,1.81,1079.45,3.9436,0,75％,75％,少し眠い,,,,,,
2018/06/18 20:20:01,78.03,411.6,305.38,1.39,716.98,3.3822,0,75％,75％,少し眠い,,,,,,
2018/06/19 04:42:52,79.37,476.05,805.85,0.68,1281.91,4.6942,0,75％,75％,非常に眠い,,,,,,
2018/06/19 04:45:54,82.4,373.46,361.61,1.5,735.07,3.7342,0,75％,75％,75％,少し眠い,,,,,
2018/06/19 07:45:31,84.05,530.46,280.92,1.93,811.39,3.9176,0,75％,75％,非常に眠い,,,,,,
2018/06/19 07:48:09,84.26,652.76,291.86,2.82,944.62,4.2489,1,75％,75％,非常に眠い,,,,,,
2018/06/19 07:50:49,84.79,974.05,351.06,5.51,1325.11,5.0948,2,75％,75％,非常に眠い,,,,,,
2018/06/19 07:54:25,87.19,343.39,197.72,1.81,541.11,3.3129,0,75％,75％,非常に眠い,,,,,,
2018/06/19 11:49:05,80.44,136.5,123.3,1.23,259.8,2.1588,1,75％,75％,少し眠い,,,,,,
2018/06/19 11:52:05,76.39,223.79,181.24,1.31,405.02,2.5421,1,75％,75％,少し眠い,,,,,,
2018/06/19 11:54:46,77.37,527.9,217.03,2.62,744.93,3.5154,1,36.98,75％,75％,少し眠い,,,,,
2018/06/19 20:36:47,78.58,1007.6,216.4,5.12,1224.0,4.5224,2,75％,25％,75％,眠くない,,,,,
2018/06/19 20:40:12,78.97,1023.42,172.25,7.56,1195.67,4.3734,2,75％,75％,眠くない,,,,,,
2018/06/19 23:00:45,105.17,103.02,45.33,3.24,148.34,2.1004,1,75％,75％,少し眠い,,,,,,
2018/06/19 23:03:27,102.14,113.3,86.34,2.15,199.63,2.3078,1,36.20,25％,75％,75％,少し眠い,,,,
2018/06/20 04:54:05,90.02,341.08,151.97,2.54,493.05,3.225,1,75％,75％,75％,非常に眠い,,,,,
2018/06/20 04:57:14,88.26,320.67,200.83,1.79,521.5,3.34,0,75％,75％,非常に眠い,,,,,,
2018/06/20 05:00:40,88.6,535.99,116.45,4.57,652.44,3.6693,1,75％,75％,非常に眠い,,,,,,
2018/06/20 09:18:46,81.95,2575.31,620.25,4.91,3195.56,7.3695,1,75％,100％,少し眠い,,,,,,
2018/06/20 09:22:19,84.97,702.21,350.94,2.16,1053.15,4.529,1,75％,100％,少し眠い,,,,,,
2018/06/20 09:27:05,82.71,802.91,389.65,2.74,1192.56,4.6617,1,100％,75％,少し眠い,75％,75％,少し眠い,,,
2018/06/20 12:08:42,79.72,1952.12,269.24,8.62,2221.36,6.2701,2,75％,75％,少し眠い,,,,,,
2018/06/20 20:18:50,82.25,783.28,194.96,3.8,978.24,3.946,1,36.66,100％,100％,少し眠い,,,,,
2018/06/20 20:21:52,85.19,449.06,122.07,3.75,571.13,3.3082,1,100％,100％,少し眠い,,,,,,
2018/06/20 22:21:54,100.45,41.48,16.35,2.78,57.83,1.254,1,100％,75％,少し眠い,,,,,,
2018/06/20 22:25:10,101.25,34.36,14.44,2.58,48.79,1.1640000000000001,1,100％,100％,少し眠い,,,,,,
2018/06/21 05:06:24,88.97,577.47,196.65,2.75,774.12,3.8293,1,100％,25％,100％,非常に眠い,,,,,
2018/06/21 05:14:04,91.13,195.81,181.12,1.04,376.92,2.8464,1,100％,100％,非常に眠い,,,,,,
2018/06/21 05:16:52,86.41,487.63,308.14,1.76,795.77,3.9373,0,100％,100％,非常に眠い,,,,,,
2018/06/21 07:42:02,87.42,538.04,155.89,3.92,693.93,3.6816,1,100％,100％,少し眠い,,,,,,
2018/06/21 07:44:44,81.89,455.8,322.59,1.41,778.39,3.7552,0,100％,100％,少し眠い,,,,,,
2018/06/21 07:47:33,84.58,723.46,275.26,2.77,998.72,4.263999999999999,1,100％,100％,少し眠い,,,,,,
2018/06/21 12:13:08,83.88,313.94,174.67,2.14,488.61,2.9299,1,75％,100％,少し眠い,,,,,,
2018/06/21 12:15:58,87.46,196.18,73.87,3.31,270.04,2.327,1,100％,75％,75％,少し眠い,,,,,
2018/06/21 21:57:37,83.12,213.7,236.84,0.86,450.54,2.8666,0,100％,75％,少し眠い,入浴後30分以内,,,,,
2018/06/21 22:00:25,83.33,529.59,206.92,2.68,736.51,3.7789,1,100％,25％,75％,75％,100％,少し眠い,入浴後30分以内,,
2018/06/21 22:03:40,85.78,363.8,157.95,2.52,521.75,3.262,1,100％,100％,少し眠い,入浴後30分以内,,,,,
2018/06/22 05:25:32,81.33,320.38,786.06,0.44,1106.44,4.4819,0,100％,100％,少し眠い,非常に眠い,,,,,
